    6   12 1.7816000E-03
    8   16 5.9670000E-06
   10   20 5.2230000E-06
   10   21 1.4250000E-14
   12   24 2.9100000E-05
   12   25 3.3970000E-08
   12   26 8.5180000E-10
   13   26 1.8110000E-08
   13   27 8.8820000E-08
   14   28 4.9160000E-05
   14   29 1.4760000E-06
   14   30 7.5320000E-06
   15   30 5.3260000E-08
   15   31 4.8790000E-06
   16   32 1.2770000E-05
   16   33 1.5170000E-06
   16   34 5.8240000E-06
   16   35 1.0070000E-09
   17   35 4.2400000E-06
   17   36 1.7280000E-11
   17   37 1.2190000E-09
   18   36 1.4530000E-06
   18   37 4.7280000E-08
   18   38 3.3150000E-06
   18   39 3.7020000E-14
   19   38 6.0460000E-09
   19   39 8.8970000E-06
   19   40 1.3960000E-12
   19   41 7.4640000E-15
   20   40 4.0570000E-06
   20   41 7.1710000E-10
   20   42 3.2320000E-07
   20   43 1.0370000E-07
   20   44 1.1960000E-11
   21   43 2.1180000E-07
   21   44 1.3000000E-10
   21   45 1.6140000E-09
   22   44 4.7010000E-07
   22   45 2.4860000E-09
   22   46 1.0450000E-06
   22   47 5.0820000E-07
   22   48 4.9360000E-10
   22   49 3.7340000E-10
   23   47 2.9360000E-07
   23   48 7.2700000E-08
   23   49 2.2030000E-07
   23   50 2.6350000E-15
   23   51 1.1710000E-08
   24   48 1.4770000E-07
   24   49 1.0300000E-07
   24   50 6.0150000E-07
   24   51 1.1880000E-06
   24   52 1.3310000E-08
   24   53 6.1990000E-13
   25   51 1.5900000E-06
   25   52 6.0150000E-07
   25   53 1.0090000E-07
   25   54 2.3090000E-15
   25   55 1.1910000E-10
   26   52 1.4640000E-06
   26   53 8.2560000E-09
   26   54 3.7710000E-07
   26   55 2.8170000E-07
   26   56 2.1420000E-08
   26   57 8.6840000E-14
   27   55 1.3830000E-06
   27   56 1.9380000E-06
   27   57 5.8330000E-11
   27   59 1.3420000E-10
   28   56 2.4740000E-05
   28   57 5.6400000E-10
   28   58 3.7010000E-09
   28   59 5.2660000E-08
   28   60 2.4190000E-05
   28   61 1.8520000E-09
   28   62 6.2380000E-11
   29   59 2.1960000E-13
   29   60 5.7640000E-07
   29   61 5.1970000E-08
   29   62 1.2490000E-10
   29   63 8.3050000E-09
   29   65 1.3820000E-11
   30   60 3.8240000E-09
   30   61 1.8890000E-10
   30   62 1.2030000E-08
   30   63 3.6370000E-08
   30   64 8.6140000E-04
   30   65 1.1170000E-06
   30   66 5.3710000E-10
   30   67 4.1930000E-10
   30   68 7.0110000E-10
   31   63 9.7920000E-15
   31   64 6.2440000E-05
   31   65 1.6310000E-06
   31   66 7.1140000E-08
   31   67 4.7050000E-07
   31   68 1.4640000E-08
   31   69 5.7940000E-09
   31   71 6.9890000E-13
   32   64 3.4910000E-07
   32   65 2.9040000E-13
   32   66 1.1130000E-06
   32   67 9.3160000E-07
   32   68 1.0450000E-03
   32   69 3.0990000E-06
   32   70 3.9330000E-08
   32   71 3.7510000E-09
   32   72 8.9160000E-10
   32   73 3.6070000E-12
   33   67 1.1080000E-11
   33   68 5.1080000E-05
   33   69 4.4900000E-06
   33   70 4.5850000E-07
   33   71 2.8400000E-06
   33   72 3.8870000E-07
   33   73 1.3270000E-07
   33   75 3.4910000E-12
   34   68 8.9140000E-10
   34   69 1.0840000E-13
   34   70 2.1790000E-06
   34   71 6.3390000E-07
   34   72 6.8460000E-04
   34   73 1.0360000E-05
   34   74 2.1460000E-07
   34   75 1.9200000E-07
   34   76 1.3870000E-08
   34   77 1.0080000E-09
   34   78 7.4560000E-15
   35   72 1.4580000E-06
   35   73 1.1210000E-06
   35   74 1.0710000E-06
   35   75 3.4230000E-06
   35   76 3.4540000E-06
   35   77 1.0600000E-06
   35   78 3.8260000E-15
   35   79 2.3180000E-09
   36   73 1.2740000E-13
   36   74 1.1850000E-06
   36   75 6.4660000E-07
   36   76 3.9800000E-04
   36   77 1.3710000E-05
   36   78 1.1160000E-06
   36   79 1.3830000E-06
   36   80 1.1620000E-05
   36   81 9.3230000E-08
   36   82 1.5480000E-09
   36   83 4.9410000E-13
   37   76 6.2750000E-10
   37   77 1.8590000E-06
   37   78 2.6790000E-06
   37   79 4.5270000E-06
   37   80 8.5200000E-07
   37   81 6.5210000E-06
   37   82 3.0120000E-10
   37   83 2.1660000E-08
   37   85 1.9500000E-11
   38   78 1.3540000E-07
   38   79 1.6180000E-07
   38   80 1.6180000E-04
   38   81 1.7430000E-05
   38   82 8.7270000E-06
   38   83 9.2360000E-06
   38   84 4.3550000E-05
   38   85 6.1850000E-07
   38   86 3.1730000E-10
   38   87 5.9040000E-10
   38   88 2.3790000E-15
   39   80 1.3840000E-11
   39   81 2.0600000E-08
   39   82 5.4980000E-13
   39   83 4.7980000E-06
   39   84 3.4980000E-07
   39   85 2.0790000E-05
   39   86 7.9630000E-08
   39   87 8.8020000E-07
   39   88 1.6050000E-10
   39   89 3.1080000E-09
   40   82 1.5700000E-12
   40   83 1.7980000E-10
   40   84 1.1780000E-04
   40   85 1.2010000E-05
   40   86 1.1760000E-05
   40   87 1.5710000E-05
   40   88 6.0360000E-06
   40   89 4.2140000E-06
   40   90 1.6400000E-08
   40   91 2.2590000E-14
   41   85 2.3850000E-15
   41   86 4.9830000E-08
   41   87 2.0430000E-06
   41   88 1.5740000E-05
   41   89 4.5160000E-05
   41   90 3.4570000E-06
   41   91 2.3730000E-06
   41   92 1.5760000E-14
   41   93 9.5910000E-15
   42   88 1.1850000E-05
   42   89 9.1660000E-07
   42   90 1.4170000E-04
   42   91 5.3580000E-06
